Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Diosmin_p,14.12,Target Compound,blankNP_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C28H32O15,N/A,N/A,N/F,N/A,609.1814,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Diosmin_p,14.12,Target Compound,blankEvian_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C28H32O15,N/A,N/A,N/F,N/A,609.1814,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Diosmin_p,14.12,Target Compound,blindEvian_1,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C28H32O15,N/A,N/A,N/F,N/A,609.1814,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Diosmin_p,14.12,Target Compound,Cal5_1,4022165,N/A,0,14.12,Processed,,Unknown,N/A,T1,,4,1,Cal5_1,,775807,0.00,C28H32O15,M+H,N/A,N/A,N/A,609.1814,609.181,-.6069 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diosmin_p,14.12,Target Compound,blindEvian_2,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,5,1,blindEvian_2,,N/F,N/F,C28H32O15,N/A,N/A,N/F,N/A,609.1814,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Diosmin_p,14.12,Target Compound,blindEvian_3,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,6,1,blindEvian_3,,N/F,N/F,C28H32O15,N/A,N/A,N/F,N/A,609.1814,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Diosmin_p,14.12,Target Compound,AS_blank1,7203236,N/A,0,14.13,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,1358149,0.01,C28H32O15,M+H,N/A,N/A,N/A,609.1814,609.1815,.1946 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diosmin_p,14.12,Target Compound,AS_blank2,5210836,N/A,0,14.13,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,1147302,0.01,C28H32O15,M+H,N/A,N/A,N/A,609.1814,609.1815,.0944 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diosmin_p,14.12,Target Compound,AS_S5_1,6209810,N/A,0,14.12,Processed,,Unknown,N/A,T1,,9,1,AS_S5_1,,1293328,0.00,C28H32O15,M+H,N/A,N/A,N/A,609.1814,609.1818,.5954 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diosmin_p,14.12,Target Compound,AS_S4_1,8612409,N/A,0,14.13,Processed,,Unknown,N/A,T1,,10,1,AS_S4_1,,1785954,0.01,C28H32O15,M+H,N/A,N/A,N/A,609.1814,609.1813,-.2062 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diosmin_p,14.12,Target Compound,AS_S3_1,6682956,N/A,0,14.13,Processed,,Unknown,N/A,T1,,11,1,AS_S3_1,,1362038,0.01,C28H32O15,M+H,N/A,N/A,N/A,609.1814,609.1816,.3950 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diosmin_p,14.12,Target Compound,AS_S2_1,6586883,N/A,0,14.15,Processed,,Unknown,N/A,T1,,12,1,AS_S2_1,,1285733,0.03,C28H32O15,M+H,N/A,N/A,N/A,609.1814,609.1813,-.1060 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diosmin_p,14.12,Target Compound,AS_S1_1,8745567,N/A,0,14.11,Processed,,Unknown,N/A,T1,,13,1,AS_S1_1,,1768325,-0.01,C28H32O15,M+H,N/A,N/A,N/A,609.1814,609.1812,-.3063 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diosmin_p,14.12,Target Compound,Cal5_2,3888054,N/A,0,14.14,Processed,,Unknown,N/A,T1,,14,1,Cal5_2,,732551,0.02,C28H32O15,M+H,N/A,N/A,N/A,609.1814,609.1812,-.4065 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diosmin_p,14.12,Target Compound,AS_S5_2,8268244,N/A,0,14.12,Processed,,Unknown,N/A,T1,,15,1,AS_S5_2,,1875115,0.00,C28H32O15,M+H,N/A,N/A,N/A,609.1814,609.1815,.0944 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diosmin_p,14.12,Target Compound,AS_S4_2,6296117,N/A,0,14.14,Processed,,Unknown,N/A,T1,,16,1,AS_S4_2,,1267394,0.02,C28H32O15,M+H,N/A,N/A,N/A,609.1814,609.1813,-.1060 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diosmin_p,14.12,Target Compound,AS_S3_2,7982078,N/A,0,14.14,Processed,,Unknown,N/A,T1,,17,1,AS_S3_2,,1637672,0.02,C28H32O15,M+H,N/A,N/A,N/A,609.1814,609.1815,.0944 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diosmin_p,14.12,Target Compound,AS_S2_2,7957534,N/A,0,14.12,Processed,,Unknown,N/A,T1,,18,1,AS_S2_2,,1663876,0.00,C28H32O15,M+H,N/A,N/A,N/A,609.1814,609.1816,.3950 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diosmin_p,14.12,Target Compound,AS_S1_2,8310294,N/A,0,14.12,Processed,,Unknown,N/A,T1,,19,1,AS_S1_2,,1642603,0.00,C28H32O15,M+H,N/A,N/A,N/A,609.1814,609.1812,-.3063 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
